id	name	album	popularity	danceability	energy	loudness	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms
5L8t6EbGKFKc6MQlqQzYZz	Long Away	A Day At The Races	32	0.494	0.742	-6.458	0.0399	0.188	1.18e-6	0.263	0.317	116.738	213413
2BlNyI35idBaI6BN6WGZeQ	Love Of My Life	A Night At The Opera	51	0.329	0.179	-11.589	0.0299	0.933	5.04e-6	0.115	0.255	154.175	217387
0hSSAkmhJWealZ3PABqJmX	Machines (Or Back To Humans)	The Works	32	0.623	0.931	-6.102	0.0786	0.0578	0.00621	0.385	0.381	111.516	307080
4NTMIFWtDXnWN4hDSBlKOf	Made In Heaven	Made In Heaven	50	0.404	0.734	-5.825	0.0479	0.202	0	0.3	0.361	77.833	324920
6ZUUTe35o5Q1autiNyj9MW	Man On The Prowl	The Works	35	0.537	0.864	-5.444	0.0335	0.294	4.27e-5	0.538	0.916	75.184	205640
1Pq0jcWJlEYBgteQ1triQq	Misfire	Sheer Heart Attack	32	0.614	0.84	-7.006	0.03	0.0808	0.0307	0.431	0.961	126.343	109653
16SdVJYuXEufNaMgGv4d4A	Modern Times Rock 'N Roll	Queen	35	0.469	0.935	-9.151	0.0734	0.0561	6.96e-5	0.831	0.6	115.75	108173
2YrfSHux2BaTXQs1535EHC	More Of That Jazz	Jazz	37	0.354	0.717	-5.787	0.0656	0.0338	3.93e-5	0.0936	0.514	174.069	256653
5ShmaPvHBM0lMG5Tj2VtZF	Mother Love	Made In Heaven	44	0.55	0.412	-7.862	0.0269	0.226	5.25e-4	0.411	0.232	91.974	286173
3uaVLkgDqlYy153yFBUVtl	Mustapha	Jazz	42	0.595	0.628	-9.902	0.123	0.48	2.64e-6	0.0709	0.485	152.742	181027
4ThbgbCyLKCPrPEdmYfwtV	My Baby Does Me	The Miracle	33	0.79	0.417	-10.828	0.0513	0.0491	0.0123	0.0449	0.703	90.955	202800
